Nama Tempat,Kategori,Area,Rating,Harga,Latitude,Longitude,Google Maps Link
GOFFEÉ Doughnuts & Coffee Dipatiukur,Cafe,Dipatiukur,4.8,Rp 25–50,-6.885641,107.6147149,https://www.google.com/maps/place/GOFFE%C3%89+Doughnuts+%26+Coffee+Dipatiukur/data=!4m7!3m6!1s0x2e68e7005e59471d:0x2082df789029f739!8m2!3d-6.885641!4d107.6147149!16s%2Fg%2F11wmhjf1d1!19sChIJHUdZXgDnaC4ROfcpkHjfgiA?authuser=0&hl=id&rclk=1
Betah Space,Cafe,Dipatiukur,4.8,Rp 50–75,-6.8981635,107.6141497,https://www.google.com/maps/place/Betah+Space/data=!4m7!3m6!1s0x2e68e7d64e6b64c1:0xfe742cb09263f0be!8m2!3d-6.8981635!4d107.6141497!16s%2Fg%2F11mpd2hgx4!19sChIJwWRrTtbnaC4RvvBjkrAsdP4?authuser=0&hl=id&rclk=1
Fore Coffee - Dipatiukur,Cafe,Dipatiukur,4.6,Rp 25–50,-6.8891591,107.6156614,https://www.google.com/maps/place/Fore+Coffee+-+Dipatiukur/data=!4m7!3m6!1s0x2e68e71cc5bd145f:0xd6afec95c25cdbd!8m2!3d-6.8891591!4d107.6156614!16s%2Fg%2F11twbvlfjy!19sChIJXxS9xRznaC4Rvc0lXMn-ag0?authuser=0&hl=id&rclk=1
Kata Anja Coffee,Cafe,Dipatiukur,4.7,Rp 25–50,-6.8951486,107.6169154,https://www.google.com/maps/place/Kata+Anja+Coffee/data=!4m7!3m6!1s0x2e68e79bb0f222b5:0x2ab3077750813029!8m2!3d-6.8951486!4d107.6169154!16s%2Fg%2F11qb5sqk6l!19sChIJtSLysJvnaC4RKTCBUHcHsyo?authuser=0&hl=id&rclk=1
Four C'S Cafe Eatery,Cafe,Dipatiukur,4.6,Rp 25–50,-6.8881552,107.6151823,https://www.google.com/maps/place/Four+C%27S+Cafe+Eatery/data=!4m7!3m6!1s0x2e68e7d341d74007:0x65067714547a71b3!8m2!3d-6.8881552!4d107.6151823!16s%2Fg%2F11fk4sj99t!19sChIJB0DXQdPnaC4Rs3F6VBR3BmU?authuser=0&hl=id&rclk=1
TOMORO COFFEE - Dipati Ukur,Cafe,Dipatiukur,4.9,Rp 25–50,-6.8881285,107.6152197,https://www.google.com/maps/place/TOMORO+COFFEE+-+Dipati+Ukur/data=!4m7!3m6!1s0x2e68e766b0a5c4e1:0x377fc924a412d90e!8m2!3d-6.8881285!4d107.6152197!16s%2Fg%2F11vbx2x7x5!19sChIJ4cSlsGbnaC4RDtkSpCTJfzc?authuser=0&hl=id&rclk=1
Coffee Bawa Dipati Ukur,Cafe,Dipatiukur,4.7,Rp 25–50,-6.8896909,107.6159427,https://www.google.com/maps/place/Coffee+Bawa+Dipati+Ukur/data=!4m7!3m6!1s0x2e68e7ee0e4b9d39:0x5bdd0ad82d433dcf!8m2!3d-6.8896909!4d107.6159427!16s%2Fg%2F11rhvspk17!19sChIJOZ1LDu7naC4Rzz1DLdgK3Vs?authuser=0&hl=id&rclk=1
WARKOP 24 jam WARUNG DISNY,Cafe,Dipatiukur,4.8,Rp 1–25.000,-6.8886053,107.6157286,https://www.google.com/maps/place/WARKOP+24+jam+WARUNG+DISNY/data=!4m7!3m6!1s0x2e68e6546a5b1537:0xddd3f52111e67e54!8m2!3d-6.8886053!4d107.6157286!16s%2Fg%2F11bzymhmgz!19sChIJNxVbalTmaC4RVH7mESH1090?authuser=0&hl=id&rclk=1
Public Space Cafe,Cafe,Dipatiukur,4.6,Rp 25–50,-6.8919177,107.6172274,https://www.google.com/maps/place/Public+Space+Cafe/data=!4m7!3m6!1s0x2e68e7d9be35a159:0x975250e9a7e9f625!8m2!3d-6.8919177!4d107.6172274!16s%2Fg%2F11js7w6kg4!19sChIJWaE1vtnnaC4RJfbpp-lQUpc?authuser=0&hl=id&rclk=1
KalpaTARU,Cafe,Dipatiukur,4.7,Rp 50–75,-6.8962892,107.6170294,https://www.google.com/maps/place/KalpaTARU/data=!4m7!3m6!1s0x2e68e71b2b213809:0xa6c4c1184e6f5de2!8m2!3d-6.8962892!4d107.6170294!16s%2Fg%2F11qrkrz3j3!19sChIJCTghKxvnaC4R4l1vThjBxKY?authuser=0&hl=id&rclk=1
Nongkrong di du,Cafe,Dipatiukur,4.2,Rp 50.000 (Estimasi),-6.8874709,107.6151676,https://www.google.com/maps/place/Nongkrong+di+du/data=!4m7!3m6!1s0x2e68e7e98e352dfd:0x1431b48bf8d5596d!8m2!3d-6.8874709!4d107.6151676!16s%2Fg%2F11sm___jct!19sChIJ_S01junnaC4RbVnV-Iu0MRQ?authuser=0&hl=id&rclk=1
Zoe,Cafe,Dipatiukur,4.5,Rp 50.000 - Rp 100.000,-6.896977,107.614819,https://www.google.com/maps/place/Zoe/data=!4m7!3m6!1s0x2e68e651e2d87715:0xb4d98c63043c916e!8m2!3d-6.896977!4d107.614819!16s%2Fg%2F11b6gncb0r!19sChIJFXfY4lHmaC4RbpE8BGOM2bQ?authuser=0&hl=id&rclk=1
TOMORO COFFEE - Cikutra,Cafe,Cikutra,4.9,Rp 25–50,-6.898228,107.643469,https://www.google.com/maps/place/TOMORO+COFFEE+-+Cikutra/data=!4m7!3m6!1s0x2e68e72b343e501d:0x464fdd0e8336a1a5!8m2!3d-6.898228!4d107.643469!16s%2Fg%2F11l3192dws!19sChIJHVA-NCvnaC4RpaE2gw7dT0Y?authuser=0&hl=id&rclk=1
Beri kopi Cikutra,Cafe,Cikutra,4.5,Rp 25–50,-6.896726,107.6348003,https://www.google.com/maps/place/Beri+kopi+Cikutra/data=!4m7!3m6!1s0x2e68e7e1944499e9:0x950b6197da578823!8m2!3d-6.896726!4d107.6348003!16s%2Fg%2F11x5d17ymd!19sChIJ6ZlElOHnaC4RI4hX2pdhC5U?authuser=0&hl=id&rclk=1
Memorial Coffee Cikutra,Cafe,Cikutra,4.9,Rp 25–50,-6.8935861,107.6388392,https://www.google.com/maps/place/Memorial+Coffee+Cikutra/data=!4m7!3m6!1s0x2e68e74fa236d0fd:0xd6bf84e0c2d7fe77!8m2!3d-6.8935861!4d107.6388392!16s%2Fg%2F11xd2w8w4t!19sChIJ_dA2ok_naC4Rd_7XwuCEv9Y?authuser=0&hl=id&rclk=1
Sukaluyu Coffee,Cafe,Cikutra,4.9,Rp 25–50,-6.8935398,107.6405232,https://www.google.com/maps/place/Sukaluyu+Coffee/data=!4m7!3m6!1s0x2e68e7002871a39b:0x3c726e0d791a7b67!8m2!3d-6.8935398!4d107.6405232!16s%2Fg%2F11xrfx5w1q!19sChIJm6NxKADnaC4RZ3saeQ1ucjw?authuser=0&hl=id&rclk=1
Kanaya Resto & Cafe,Cafe,Cikutra,4.5,Rp 25–50,-6.8935936,107.6359289,https://www.google.com/maps/place/Kanaya+Resto+%26+Cafe/data=!4m7!3m6!1s0x2e68e7a5abc8e9c3:0x16dbc3cec4a648b!8m2!3d-6.8935936!4d107.6359289!16s%2Fg%2F11b61qy3rh!19sChIJw-nIq6XnaC4Ri2RK7Dy8bQE?authuser=0&hl=id&rclk=1
